Unnamed: 0,pokedex_number,name,generation,is_legendary,type_number,type_1,type_2,height_m,weight_kg,ability_1,ability_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,base_friendship,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,Evolution,form,base_name,has_image
0,1,Bulbasaur,1,0,2,Grass,Poison,0.7,6.9,Overgrow,,318.0,45.0,49.0,49.0,65.0,65.0,45.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,ivysaur,base,,True
1,2,Ivysaur,1,0,2,Grass,Poison,1.0,13.0,Overgrow,,405.0,60.0,62.0,63.0,80.0,80.0,60.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,venusaur,base,,True
2,3,Venusaur,1,0,2,Grass,Poison,2.0,100.0,Overgrow,,525.0,80.0,82.0,83.0,100.0,100.0,80.0,70.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,base,,True
3,3,Mega Venusaur,1,0,2,Grass,Poison,2.4,155.5,Thick Fat,,625.0,80.0,100.0,123.0,122.0,120.0,80.0,70.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,mega,Venusaur,True
4,4,Charmander,1,0,1,Fire,,0.6,8.5,Blaze,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,70.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,charmeleon,base,,True
5,5,Charmeleon,1,0,1,Fire,,1.1,19.0,Blaze,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,70.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,charizard,base,,True
6,6,Charizard,1,0,2,Fire,Flying,1.7,90.5,Blaze,,534.0,78.0,84.0,78.0,109.0,85.0,100.0,70.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,base,,True
7,6,Mega Charizard X,1,0,2,Fire,Dragon,1.7,110.5,Tough Claws,,634.0,78.0,130.0,111.0,130.0,85.0,100.0,70.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,,mega-x,Charizard,True
8,6,Mega Charizard Y,1,0,2,Fire,Flying,1.7,100.5,Drought,,634.0,78.0,104.0,78.0,159.0,115.0,100.0,70.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,mega-y,Charizard ,True
9,7,Squirtle,1,0,1,Water,,0.5,9.0,Torrent,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,wartortle,base,,True
10,8,Wartortle,1,0,1,Water,,1.0,22.5,Torrent,,405.0,59.0,63.0,80.0,65.0,80.0,58.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,blastoise,base,,True
11,9,Blastoise,1,0,1,Water,,1.6,85.5,Torrent,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,,True
12,9,Mega Blastoise,1,0,1,Water,,1.6,101.1,Mega Launcher,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,70.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,mega,Blastoise,True
13,10,Caterpie,1,0,1,Bug,,0.3,2.9,Shield Dust,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,70.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,metapod,base,,True
14,11,Metapod,1,0,1,Bug,,0.7,9.9,Shed Skin,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,70.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,butterfree,base,,True
15,12,Butterfree,1,0,2,Bug,Flying,1.1,32.0,Compound Eyes,,395.0,60.0,45.0,50.0,90.0,80.0,70.0,70.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,base,,True
16,13,Weedle,1,0,2,Bug,Poison,0.3,3.2,Shield Dust,,195.0,40.0,35.0,30.0,20.0,20.0,50.0,70.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,kakuna,base,,True
