pokedex_number,name,generation,is_legendary,type_number,type_1,type_2,height_m,weight_kg,ability_1,ability_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,base_friendship,egg_type_1,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,Evolution,form,base_name
1,Bulbasaur,1,0,2,Grass,Poison,0.7,6.9,Overgrow,,318.0,45.0,49.0,49.0,65.0,65.0,45.0,70.0,Grass,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,ivysaur,base,
2,Ivysaur,1,0,2,Grass,Poison,1.0,13.0,Overgrow,,405.0,60.0,62.0,63.0,80.0,80.0,60.0,70.0,Grass,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,venusaur,base,
3,Venusaur,1,0,2,Grass,Poison,2.0,100.0,Overgrow,,525.0,80.0,82.0,83.0,100.0,100.0,80.0,70.0,Grass,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,base,
3,Mega Venusaur,1,0,2,Grass,Poison,2.4,155.5,Thick Fat,,625.0,80.0,100.0,123.0,122.0,120.0,80.0,70.0,Grass,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,mega,Venusaur
4,Charmander,1,0,1,Fire,,0.6,8.5,Blaze,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,70.0,Dragon,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,charmeleon,base,
5,Charmeleon,1,0,1,Fire,,1.1,19.0,Blaze,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,70.0,Dragon,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,charizard,base,
6,Charizard,1,0,2,Fire,Flying,1.7,90.5,Blaze,,534.0,78.0,84.0,78.0,109.0,85.0,100.0,70.0,Dragon,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,base,
6,Mega Charizard X,1,0,2,Fire,Dragon,1.7,110.5,Tough Claws,,634.0,78.0,130.0,111.0,130.0,85.0,100.0,70.0,Dragon,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,,mega,Charizard X
6,Mega Charizard Y,1,0,2,Fire,Flying,1.7,100.5,Drought,,634.0,78.0,104.0,78.0,159.0,115.0,100.0,70.0,Dragon,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,mega,Charizard Y
7,Squirtle,1,0,1,Water,,0.5,9.0,Torrent,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,70.0,Monster,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,wartortle,base,
